,index,pitax_2027,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-0.5 m,"6,938","6,938","6,328","5,947","5,270","4,235","3,590"
3,0.5-1m,"74,958","74,957","65,851","64,026","53,324","51,138","49,171"
4,1-1.5m,"90,293","90,800","98,291","101,546","110,526","110,925","93,575"
5,1.5-2m,"77,275","82,231","103,502","107,627","107,020","106,896","124,589"
6,2-3m,"89,365","99,447","111,437","136,950","168,264","200,079","231,113"
7,3-4m,"56,983","65,140","74,657","85,636","105,777","116,725","133,026"
8,4-5m,"51,351","59,490","62,450","67,056","70,590","86,074","101,243"
9,5-10m,"127,647","149,418","178,830","211,323","241,842","275,297","308,459"
10,>10m,"257,252","287,796","342,123","406,048","483,845","574,648","682,413"
11,ALL,"832,061","916,216","1,043,469","1,186,160","1,346,460","1,526,016","1,727,178"
